,Tweets,len,ID,Date,Source,Likes,RTs
138,"RT @Grace4NY: We can't let anyone stop young people from making their voices heard at the polls. @TheDemocrats want to mobilize all voters,…",140,999746362148315136,2018-05-24 20:18:01,Twitter Web Client,0,6
139,https://t.co/dl1JKmXEjC via @TeenVogue,38,999721921733365760,2018-05-24 18:40:54,Twitter Web Client,0,0
140,Real leadership! #BlackLivesMatter #TakeAKnee https://t.co/ZJM1mC723D,69,999451921151913984,2018-05-24 00:48:01,Twitter for iPhone,0,0
141,"RT @letamericavote: Want to... 
✅ Prevent gun violence 
✅ Protect the environment 
✅ Reform our immigration system 
Then you gotta vote thi…",140,999325619002531841,2018-05-23 16:26:08,Twitter for iPhone,0,37
142,Workers standing up &amp; standing together for better conditions is beautiful! https://t.co/aS8dXdYlHn,103,999291805190574082,2018-05-23 14:11:46,Twitter for iPhone,0,0
143,Congrats @ColinAllredTX -now on to November to #FlipTheHouse #BlueWave2018 https://t.co/YOxEBVu92U,98,999123540984123392,2018-05-23 03:03:09,Twitter for iPhone,0,0
144,"RT @HRC: Congratulations Gina Ortiz Jones (@ginaortizjones) on your victory in Texas’s 23rd district primary! If elected in November, she w…",140,999123012342419457,2018-05-23 03:01:03,Twitter for iPhone,0,109
145,RT @letamericavote: Congratulations to voting rights champion @staceyabrams! #GAgov https://t.co/7bsiFjhkxf,107,999095644982775809,2018-05-23 01:12:18,Twitter for iPhone,0,103
146,RT @lorellapraeli: Let’s be clear: any school that reports a child to ICE would violate the Constitution. The Supreme Court has made clear…,139,999065831811309570,2018-05-22 23:13:50,Twitter for iPhone,0,487
147,"RT @RepTerriSewell: If we want to build a stronger democracy, we have to engage and empower ALL American voters #BetterDeal #RestoreTheVOTE",139,998714046693232640,2018-05-21 23:55:58,Twitter for iPhone,0,21
148,RT @RevDrBarber: Somebody is hurting our people and it’s gone on far too long. We won’t be silent anymore. #PoorPeoplesCampaign https://t.c…,140,998661598159032321,2018-05-21 20:27:33,Twitter for iPhone,0,436
149,RT @UniteThePoor: “There is a war on the poor...a system based on greed not need. Racism and voter suppression is the glue that holds it to…,140,998661053163753472,2018-05-21 20:25:23,Twitter for iPhone,0,242
150,"RT @UniteThePoor: Systemic racism, voter suppression and poverty are deeply intertwined. Don't miss a moment of Week 2 of the #PoorPeoplesC…",140,998661006279704577,2018-05-21 20:25:12,Twitter for iPhone,0,311
151,Our @letamericavote board member @crisantaduran sharing what it means to have a truly representative democracy &amp; le… https://t.co/twYZOdCMDI,144,997553392372330496,2018-05-18 19:03:57,Twitter for iPhone,1,2
