,created_at,favorite_count,favorited,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,possibly_sensitive,retweet_count,retweeted,source,text,truncated,name,screen_name,location,description
4186,2018-06-25 00:15:29,1,False,1011040146698002433,2733759094,,,,,,True,en,0.0,1,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#FamiliesBelongTogether 
@Acosta
@AprilDRyan 
@amjoyshow 
@RepMaxineWaters 
@TeenVogue 
@MotherJones 
@cnnbrk… https://t.co/Le8uMPatcp",True,Jamie B,jambie61,United States,"Worked in social services over 20 years. Aspiring Writer of horror, horror comedy, and essays. Radically honest. Radical feminist bitch #The Resistance"
4187,2018-06-25 00:15:26,0,False,1011040133263568897,915639510,realDonaldTrump,1.0110384778891756e+18,1.0110384778891756e+18,25073877.0,25073877.0,False,en,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@realDonaldTrump Nope. #BlueTsunami2018. 

#LiarInChief #PutinsPuppet #TraitorTrump #PeeTape #FakePresident… https://t.co/X7Mj3aBKLZ",True,Jo Ann Liguori,JoAnnLiguori,"Brooklyn, NY","Devoted sister, aunt, cousin & friend. Addicted to humor, the beach, chocolate & wine. Committed to liberty & justice for ALL."
4188,2018-06-25 00:15:20,0,False,1011040107477061635,32144030,,,,,,True,en,0.0,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Follow the money 💰 #FamiliesBelongTogether https://t.co/tjYjWPu25C,False,Marcia Martine,momof2plus3,,"""Put on your big girl panties and deal with it!"" - 🇺🇸 🇨🇺 🇮🇹 SFL Native & Hialeah girl w/ a Jersey ""connection"" ❤️ Proud mom 👨‍👩‍👧‍👧 #theresistance"
4189,2018-06-25 00:15:12,0,False,1011040072555261952,822875141248057344,poniewozik,1.0105856200104714e+18,1.0105856200104714e+18,23480093.0,23480093.0,False,en,,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@poniewozik Should have kicked her out but kept her children.....
No, not even her, because… https://t.co/UD6CcPZLBJ",True,E.Chadwell,Fiddlestix7,Virginia,"54 year old earthling. Peace, love and hope."
4190,2018-06-25 00:14:43,0,False,1011039950416957441,915639510,realDonaldTrump,1.0110365239642685e+18,1.0110365239642685e+18,25073877.0,25073877.0,False,en,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@realDonaldTrump @ClayHiggins18 Hope this is another @POTUS kiss of death. 

#LiarInChief #PutinsPuppet… https://t.co/rklwzwiKY8",True,Jo Ann Liguori,JoAnnLiguori,"Brooklyn, NY","Devoted sister, aunt, cousin & friend. Addicted to humor, the beach, chocolate & wine. Committed to liberty & justice for ALL."
4191,2018-06-25 00:14:41,0,False,1011039945090269184,975415380,,,,,,False,en,,0,False,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",Being born in another part of the world is not a crime. Period. #FamiliesBelongTogether,False,Faizunnahar Dewan,thefaizunnahar,,
4192,2018-06-25 00:13:56,0,False,1011039754442309632,837858607,,,,,,True,en,0.0,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","she’s still crying. there’s still hope.

it’s when the crying stops that the situational fight or flight response b… https://t.co/50rFajpAyf",True,captain foresight,vanadiumzest,seattle,"rather than disparaging knitting, smash the motherfucking patriarchy. neurodevelopmentalist working with kids traumatized by institutionalization for 12 years🍋"
4193,2018-06-25 00:13:29,0,False,1011039640969572352,472595226,,,,,,False,und,0.0,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",https://t.co/Cq2QcEX2B5,False,The Gospel of Hemp,thegospelofhemp,"Sacramento, CA",ENLIGHTEN Yourself today for FREE! The Gospel of Hemp: How Hemp Can Save Our World is FREE on Amazon Kindle and Google Play!
4194,2018-06-25 00:13:28,0,False,1011039638008532993,980457385960640512,,,,,,True,en,0.0,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#NorthDakota #Nebraska #NewMexico #Ohio #Oklahoma Where is your voice?  Where are your governors?  SPEAK OUT!… https://t.co/Y7DyUjTEJi,True,🌊🌊Blue Denym🌊🌊,BlueDenym555,United States,Trump made me an activist! #Resist 💙#TurnNCBlue 🌊#BlueWaveIsComing 💙#VoteBlue 🌊#VoteThemOut2018 💙Block MAGAs cause I can get KoolAid rhetoric from family on FB.
4195,2018-06-25 00:13:12,1,False,1011039569444302848,1110153572,,,,,,False,en,0.0,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Proud to work for Parents as Teachers!
Strong Families = Strong Communities 
#ImmigrantChildren… https://t.co/lAcN5dpftX",True,Alicia W Turner,ChsParentCoach,"Summerville, SC","Parenting Coach/Trainer.
Contraceptive & Sexual Health Counselor. Mom to a teenage son. Lover of music, books and all things Charleston."
4196,2018-06-25 00:13:09,0,False,1011039556307599361,451590052,kathygriffin,1.0110365871809413e+18,1.0110365871809413e+18,21148293.0,21148293.0,False,en,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@kathygriffin No peace until every child is reunited with their family! #FamiliesBelongTogether #BigotTrump… https://t.co/Q6baiPKtgl,True,Karen,klprodromo,San Francisco,Lawyer- Runner-Mother to three-Resister (not necessarily in that order).
4197,2018-06-25 00:12:51,0,False,1011039481888231424,967782231879180290,Wale,1.010767602342228e+18,1.010767602342228e+18,17929027.0,17929027.0,False,en,0.0,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@Wale Change just passed ONE MILLION LIKES w 12.5 million views. Listening to it rn on YouTube. GAWD I love this so… https://t.co/NNKDy7gdYd,True,BTS Baepsae OT7,BTSBaepsae9,"Florida, USA",New account to support @BTS_twt's music & not drive my other twitter TL's followers crazy. IFB #BTS only. #ARMY #OT7 #KDrama #BLM Anti-Trump #Resistance
